Pillar Box,WESTON ROAD,BA1,58,BOX800249,373770,165659,BA COLL - BATH,2603,A Type,17:30,12:45,51.3893514396358,-2.37834999582592
Pillar Box,COMBE PARK,BA1,50,BOX800056,373004,165627,BA COLL - BATH,2603,B Type,17:30,11:30,51.3890276339124,-2.38935577836687
Pillar Box,WESTON PARK,BA1,80,BOX800248,373432,165876,BA COLL - BATH,2603,B Type,17:00,12:45,51.391286779571,-2.38322372466112
Pillar Box,CORK PLACE,BA1,1014,BOX800058,373644,165217,BA COLL - BATH,2603,Penfold,17:30,13:00,51.3853713742718,-2.38012779765022
Pillar Box,LOWER WESTON P.O.,BA1,1012,BOX800125,373037,165095,BA COLL - BATH,2603,Penfold,17:15,12:00,51.3842457859899,-2.38884096719509
Pillar Box,COMBE PARK,BA1,183,BOX800057,373075,166052,BA COLL - BATH,2603,B Type,17:30,12:15,51.3928523631632,-2.38836781369606
Pillar Box,WESTON GROVE,BA1,198,BOX800246,373114,166218,BA COLL - BATH,2603,Lamp Box Pier,17:00,12:45,51.3943467909641,-2.38781992801008
Pillar Box,UPPER LANSDOWN MEWS,BA1,59,BOX800232,374754,165875,BA COLL - BATH,2603,B Type,17:30,12:15,51.3913384181994,-2.36422427809986
Pillar Box,LANSDOWN ROAD,BA1,7,BOX800116,374901,165581,BA COLL - BATH,2603,Lamp Box Pier,17:30,12:15,51.3887014921598,-2.36209075500552
Pillar Box,CAVENDISH PLACE,BA1,224,BOX800037,374401,165759,BA COLL - BATH,2603,B Type,17:30,11:30,51.3902795264422,-2.369289087905
Pillar Box,ST ANDREWS P.O.,BA1,1009,BOX800186,374494,165550,BA COLL - BATH,2603,Penfold,17:15,12:45,51.3884045275774,-2.36793746712992
Pillar Box,GAY STREET,BA1,180,BOX800087,374774,165226,BA COLL - BATH,2603,A Type,17:30,12:45,51.3855038796919,-2.36389052165702
Pillar Box,UPPER CHURCH STREET,BA1,213,BOX800231,374576,165373,BA COLL - BATH,2603,B Type,17:30,12:00,51.3868167428312,-2.36674633097565
Pillar Box,MILSOM STREET,BA1,227,BOX800136,374920,165143,BA COLL - BATH,2603,A Type,17:30,12:45,51.3847640917158,-2.36178662909951
Pillar Box,RUSSELL STREET,BA1,102,BOX800185,374843,165345,BA COLL - BATH,2603,A Type,17:15,12:30,51.386576936182,-2.36290746876093
Pillar Box,JULIAN ROAD,BA1,128,BOX800106,374794,165482,BA COLL - BATH,2603,B Type,17:30,12:45,51.3878065768992,-2.36362137958393
